year,generation
2014,7.78
2015,7.92
2016,7.16
2013,19.92
2014,19.9
2015,19.6
2016,19.65
2014,886.2
2015,911.83
2016,834.85
2013,369.39
2014,346.82
2015,357.18
2016,370.4
2014,741.96
2015,772.53
2016,706.42
2013,5.41
2014,5.33
2015,5.3
2016,5.31
2013,247.15
2014,261.47
2015,247.15
2016,262.18
2013,1065.84
2014,1069.09
2015,1071.68
2016,1154.68
2013,246.88
2014,245.76
2015,246.88
2016,245.55
2013,7.5
2014,7.47
2015,7.47
2016,7.75
2013,3441.75
2014,3948.54
2015,3755.45
2016,4186.46
2013,23.33
2014,35.47
2015,23.33
2016,23.5
2013,86.04
2014,119.05
2015,86.81
2016,95.28
2013,97.42
2014,142.36
2015,97.42
2016,93.93
2013,97.51
2014,134.92
2015,98.39
2016,107.99
2013,9.66
2014,9.78
2015,9.74
2016,9.98
2013,141.19
2014,204.39
2015,141.19
2016,136.29
2013,61.69
2014,89.78
2015,61.69
2016,59.51
2013,86.04
2014,119.05
2015,86.81
2016,95.28
2013,97.51
2014,134.92
2015,98.39
2016,107.99
2013,24.21
2014,36.81
2015,24.21
2016,24.39
2013,246.94
2014,356.49
2015,246.94
2016,238.46
2013,39.28
2014,59.9
2015,39.28
2016,39.57
2013,20.75
2014,32.13
2015,20.75
2016,21.28
2013,98.44
2014,101.51
2015,99.89
2016,106.26
2013,170.76
2014,219.89
2015,170.34
2016,157.65
2013,10.95
2014,11.17
2015,11.16
2016,11.29
2013,24.21
2014,36.81
2015,24.21
2016,24.39
2013,463.07
2014,336.15
2015,394.21
2016,392.33
2013,1561.77
2014,854.65
2015,1033.17
2016,1036
2013,900.15
2014,536.48
2015,628.29
2016,630.01
2013,479.39
2014,344.88
2015,413.74
2016,407.03
2013,706.67
2014,471.81
2015,556.53
2016,559.5
2013,197.79
2014,142.53
2015,167.87
2016,167.04
2013,123.4
2014,88.86
2015,104.7
2016,104.18
2013,199.85
2014,144.02
2015,169.62
2016,168.78
2013,311.67
2014,224.85
2015,265.09
2016,265.82
2013,249.34
2014,179.88
2015,212.07
2016,212.65
2013,120.86
2014,75.86
2015,88.33
2016,88.57
2013,621.24
2014,351.86
2015,419.86
2016,421.01
2013,823.71
2014,553.05
2015,661.21
2016,668.3
2013,790.01
2014,406.05
2015,450.53
2016,494.12
2013,35.84
2014,22.4
2015,25.13
2016,25.57
2013,1205.56
2014,831.63
2015,1009.73
2016,1013.12
2013,371.6
2014,453.25
2015,447.6
2016,419.14
2013,27.46
2014,30.59
2015,30.34
2016,29.8
2013,9.2
2014,15.63
2015,14.98
2016,15.02
2013,5.49
2014,6.66
2015,6.45
2016,6.21
2013,2
2014,4.09
2015,4.02
2016,5.24
2013,48.57
2014,62.1
2015,52.19
2016,62.35
2013,7.61
2014,12.81
2015,12.29
2016,12.32
2013,13.4
2014,16.41
2015,16.18
2016,15.73
2013,1353.57
2014,1234.91
2015,1196.24
2016,1254.6
2013,5.68
2014,9.36
2015,8.96
2016,8.99
2013,15.02
2014,11.48
2015,14.46
2016,10.35
2013,232.21
2014,324.75
2015,299.02
2016,286.76
2013,4.05
2014,7.23
2015,6.98
2016,7
2013,199.18
2014,189.91
2015,184.54
2016,171.01
2013,435.32
2014,413.19
2015,386.02
2016,383.89
2013,23.19
2014,20.15
2015,18.4
2016,15.18
2013,19.67
2014,24.03
2015,22.52
2016,22.23
2013,5.02
2014,8.95
2015,8.64
2016,8.67
2013,33.93
2014,54.9
2015,52.89
2016,53.04
2013,2.01
2014,4.05
2015,3.88
2016,3.89
2013,35.69
2014,52.43
2015,44.54
2016,46.19
2013,63.57
2014,84.59
2015,86.7
2016,76.97
2013,18.28
2014,20.87
2015,20.6
2016,20.27
2013,5.18
2014,6.95
2015,7.68
2016,7.58
2013,109.19
2014,124.72
2015,124.09
2016,127.12
2015,26.33
2016,29.06
2013,820.88
2014,925.35
2015,966.48
2016,952.43
2013,749.02
2014,829.91
2015,882.83
2016,879.76
2013,89.34
2014,116.97
2015,115.84
2016,135.33
2016,114.26
2013,44.11
2014,34.72
2015,40.03
2016,47.17
2013,1.92
2014,3.49
2015,3.23
2016,3.24
2013,84.46
2014,113.28
2015,106.21
2016,109.56
2013,79.03
2014,102.25
2015,89.81
2016,97.25
2013,5.33
2014,6.34
2015,7.57
2016,7.54
2013,4.1
2014,3.96
2015,4.01
2016,3.93
2013,73.88
2014,98.54
2015,95.13
2016,90.85
2013,3.83
2014,5.1
2015,4.08
2016,5.14
2013,10.18
2014,12.64
2015,12.34
2016,11.86
2013,1.67
2014,3.12
2015,3
2016,3.01
2013,319.08
2014,319.08
2015,319.08
2016,318.77
2013,1597.29
2014,1390.34
2015,1332.95
2016,1292.26
2013,1.74
2014,3.2
2015,3.08
2016,3.09
2013,15.83
2014,19.29
2015,18.93
2016,18.98
2013,58.82
2014,46.3
2015,50.02
2016,59.52
2013,61.31
2014,61.04
2015,54.82
2016,39.02
2013,37.73
2014,70.9
2015,60.9
2016,71.83
2013,16.33
2014,22.19
2015,20.54
2016,21.93
2013,37.92
2014,48.43
2015,40.74
2016,48.62
2015,115.39
2016,105.09
2013,62.92
2014,83.28
2015,85.44
2016,75.7
2014,116.71
2015,116.9
2016,92.56
2013,1.74
2014,3.2
2015,3.08
2016,3.09
2013,108.83
2014,128.52
2015,130.03
2016,126.81
2013,51.55
2014,61.95
2015,61.27
2016,58.93
2016,105.33
2016,105.33
2016,105.33
2015,133.96
2016,123.18
2015,133.96
2016,123.18
2015,133.96
2016,123.18
2015,135.26
2016,123.18
2015,133.96
2016,123.18
2013,90.14
2014,114.38
2015,108.27
2016,118.13
2013,80.85
2014,80.85
2015,80.85
2016,80.87
2013,15.02
2014,11.48
2015,14.46
2016,10.35
2015,116.84
2016,112.51
2015,116.84
2016,112.51
2015,103.96
2016,110.85
2014,98.87
2015,105.68
2016,96.35
2013,92.33
2014,106.59
2015,117.07
2016,108.7
2013,1.66
2014,3.12
2015,3
2016,3
2013,419.06
2014,421.03
2015,421.03
2016,420.11
2013,624.13
2014,570.44
2015,549.64
2016,538.03
2013,707.7
2014,915.41
2015,844.02
2016,868.01
2013,9.32
2014,12.11
2015,12.13
2016,11.77
2016,138.33
2013,595.66
2014,540.11
2015,598.55
2016,552.34
2013,22.82
2014,25.14
2015,24.32
2016,21.39
2013,129.96
2014,181.88
2015,167.78
2016,160.9
2013,484.57
2014,555.75
2015,579.1
2016,563.82
2013,7.1
2014,9.24
2015,9.23
2016,9.7
2013,2748.07
2014,2616.21
2015,2651.48
2016,2529.65
2013,66.36
2014,78.16
2015,75.35
2016,87.63
2013,134.32
2014,162.98
2015,156.81
2016,158.52
2013,48.28
2014,64.42
2015,57.23
2016,61.79
2013,328.62
2014,377.5
2015,365.52
2016,396.73
2013,129.56
2014,120.32
2015,107.5
2016,114.17
2013,1.97
2014,3.96
2015,3.8
2016,3.81
2013,171.48
2014,221.18
2015,212.89
2016,216
2013,8.76
2014,11.06
2015,11.98
2016,12.21
2013,6.33
2014,9.91
2015,9.77
2016,9.77
